brand_id;brand_name;count
2917;Міні-спідниці;8989
2617;Передня панель, телевізор;8986
2740;Шорти;8937
3810;Обігрівачі;8921
2803;Жилети;8829
611;Садовий інвентар;8825
2193;Колонки / сабвуфери;8825
3592;Розвиваючі килимки;8804
893;Інші аксесуари;8795
2859;Джинси-мом;8795
1109;Volkswagen;8725
2300;Труси;8712
2776;Поло;8679
571;Товари для реабілітації та осіб з інвалідністю;8656
2518;Важелі, тяги;8589
2913;Лосини і легінси;8586
2338;Подарунки для чоловіків;8570
656;Бензоінструмент;8541
2952;Джинсові шорти;8539
1115;ВАЗ;8520
2373;Фільтри;8497
2165;Багажники;8485
273;Спецтехніка;8462
3842;Інше мережеве обладнання;8429
2992;Інші плаття;8405
3688;Продаж приміщень вільного призначення;8403
2851;Вишиванки;8336
2302;Комплекти спідньої білизни;8313
2925;Парки;8267
2864;Піжами;8265
2785;Бомбери;8248
2558;Панелі приладів;8247
2985;Спортивні штани та брюки;8237
2714;Трекінгові кросівки;8220
385;Праски;8201
2230;Колонки/сабвуфери інших марок;8135
2823;Інші джинси;8106
3145;Аксесуари для волосся;8083
2721;Трекінгові черевики;8059
3583;Іграшки сортери;8039
2760;Пальто;8032
3354;Військове взуття;8011
2460;Приводні вали;8003
2409;Подушки безпеки, AIRBAG;7934
2521;Маточини, підшипники маточини;7929
2690;Сандалі і шльопанці;7928
430;Плівкові фотоапарати;7907
2426;Дверні замки та ключі;7886
382;Інша техніка для кухні;7787
2890;Світшоти;7763
2024;Запчастини двигуна;7748
2419;Підсилювачі бампера, буфер бампера;7688
2310;Панчохи / шкарпетки / колготки;7645
3204;Шоппери;7568
2632;Мокасини;7567
1856;Інше;7563
405;Портативна акустика;7562
3279;Захисні плівки / скло;7552
2837;Боді;7514
415;Підсилювачі та ресивери;7470
3212;Набори біжутерії;7456
2800;Шуби та дублянки;7427
2583;Для інших видів техніки;7419
2415;Торпедо, консоль;7398
3782;Інші комп'ютерні аксесуари;7397
2816;Спортивні кофти та светри;7359
3746;Системи відеоспостереження;7342
3007;Догляд за обличчям;7313
1514;Аксесуари для планшетів / ел. книг;7246
2400;Дверні карти, обшивка дверей;7233
2754;Чоловічі піджаки;7221
2857;Джинсові спідниці;7211
1946;Пропоную допомогу;7151
