input_brand,url,h1_text,parsed_brand,parsed_count,brand_slug
,https://auto.ria.com/uk/car/tracker/,17 оголошень про продаж Tracker,17 Оголошень Про Tracker,17,tracker
,https://auto.ria.com/uk/car/viper/,486 оголошень про продаж Viper,486 Оголошень Про Viper,486,viper
,https://auto.ria.com/uk/car/voge/,54 оголошення про продаж Voge,54 Про Voge,54,voge
,https://auto.ria.com/uk/car/volkswagen/,34 500+ оголошень про продаж Volkswagen,34 500+ Оголошень Про Volkswagen,,volkswagen
,https://auto.ria.com/uk/car/volvo/,3 800+ оголошення про продаж Volvo,3 800+ Про Volvo,,volvo
,https://auto.ria.com/uk/car/yamaha/,2 000+ оголошень про продаж Yamaha,2 000+ Оголошень Про Yamaha,,yamaha
,https://auto.ria.com/uk/car/ycf/,57 оголошень про продаж YCF,57 Оголошень Про Ycf,57,ycf
,https://auto.ria.com/uk/car/yiben/,25 оголошень про продаж YiBen,25 Оголошень Про Yiben,25,yiben
,https://auto.ria.com/uk/car/yokomoto/,13 оголошень про продаж Yokomoto,13 Оголошень Про Yokomoto,13,yokomoto
,https://auto.ria.com/uk/car/zeekr/,293 оголошення про продаж Zeekr,293 Про Zeekr,293,zeekr
,https://auto.ria.com/uk/car/zongshen/,29 оголошень про продаж Zongshen,29 Оголошень Про Zongshen,29,zongshen
,https://auto.ria.com/uk/car/atv/,68 оголошень про продаж ATV,68 Оголошень Про Atv,68,atv
,https://auto.ria.com/uk/car/abarth/,13 оголошень про продаж Abarth,13 Оголошень Про Abarth,13,abarth
,https://auto.ria.com/uk/car/abm/,12 оголошень про продаж ABM,12 Оголошень Про Abm,12,abm
,https://auto.ria.com/uk/car/adventure/,11 оголошень про продаж Adventure,11 Оголошень Про Adventure,11,adventure
,https://auto.ria.com/uk/car/adria/,11 оголошень про продаж Adria,11 Оголошень Про Adria,11,adria
,https://auto.ria.com/uk/car/acerbi/,13 оголошень про продаж Acerbi,13 Оголошень Про Acerbi,13,acerbi
,https://auto.ria.com/uk/car/al-ko/,23 оголошення про продаж Al-ko,23 Про Al-ko,23,al-ko
,https://auto.ria.com/uk/car/aleko/,10 оголошень про продаж ALEKO,10 Оголошень Про Aleko,10,aleko
,https://auto.ria.com/uk/car/bmw-alpina/,15 оголошень про продаж BMW-Alpina,15 Оголошень Про Bmw-alpina,15,bmw-alpina
,https://auto.ria.com/uk/car/alfa/,50 оголошень про продаж Alfa,50 Оголошень Про Alfa,50,alfa
,https://auto.ria.com/uk/car/alpha/,64 оголошення про продаж Alpha,64 Про Alpha,64,alpha
,https://auto.ria.com/uk/car/ammann/,14 оголошень про продаж Ammann,14 Оголошень Про Ammann,14,ammann
,https://auto.ria.com/uk/car/amkodor/,10 оголошень про продаж Амкодор,10 Оголошень Про Амкодор,10,amkodor
,https://auto.ria.com/uk/car/arctic-cat/,17 оголошень про продаж Arctic cat,17 Оголошень Про Arctic Cat,17,arctic-cat
,https://auto.ria.com/uk/car/ataman/,11 оголошень про продаж Ataman,11 Оголошень Про Ataman,11,ataman
,https://auto.ria.com/uk/car/aima/,51 оголошення про продаж AIMA,51 Про Aima,51,aima
,https://auto.ria.com/uk/car/bavaria/,20 оголошень про продаж Bavaria,20 Оголошень Про Bavaria,20,bavaria
,https://auto.ria.com/uk/car/bajaj/,329 оголошень про продаж Bajaj,329 Оголошень Про Bajaj,329,bajaj
,https://auto.ria.com/uk/car/baz/,237 оголошень про продаж БАЗ,237 Оголошень Про Баз,237,baz
,https://auto.ria.com/uk/car/balkancar/,28 оголошень про продаж Balkancar,28 Оголошень Про Balkancar,28,balkancar
,https://auto.ria.com/uk/car/bashan/,77 оголошень про продаж Bashan,77 Оголошень Про Bashan,77,bashan
,https://auto.ria.com/uk/car/benalu/,176 оголошень про продаж Benalu,176 Оголошень Про Benalu,176,benalu
,https://auto.ria.com/uk/car/berger/,20 оголошень про продаж Berger,20 Оголошень Про Berger,20,berger
,https://auto.ria.com/uk/car/beta/,10 оголошень про продаж Beta,10 Оголошень Про Beta,10,beta
,https://auto.ria.com/uk/car/blumhardt/,19 оголошень про продаж Blumhardt,19 Оголошень Про Blumhardt,19,blumhardt
,https://auto.ria.com/uk/car/bober/,10 оголошень про продаж Бобер,10 Оголошень Про Бобер,10,bober
,https://auto.ria.com/uk/car/bobcat/,57 оголошень про продаж Bobcat,57 Оголошень Про Bobcat,57,bobcat
,https://auto.ria.com/uk/car/bogdan/,366 оголошень про продаж Богдан,366 Оголошень Про Богдан,366,bogdan
,https://auto.ria.com/uk/car/bodex/,239 оголошень про продаж Bodex,239 Оголошень Про Bodex,239,bodex
